Track Name,Artist,Genres
Send Them Off!,Bastille,"metropopolis, modern rock, pop"
Buttons,Steve Lacy,afrofuturism
Paint The Town Red,Doja Cat,"dance pop, pop"
Lift Off,Labrinth,"indie poptimism, pop"
Che Konam - Bandari Version,Erfan Tahmasbi,persian pop
Here I Go,Syd Barrett,"art rock, experimental, outsider, psychedelic folk, psychedelic rock"
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,"madchester, new wave, permanent wave, rock, uk post-punk"
Summer '68,Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
Cielito Lindo,Mohsen Namjoo,"persian alternative, persian rock"
Taco Truck x VB,Lana Del Rey,"art pop, pop"
Radio,Lana Del Rey,"art pop, pop"
Fame,Irene Cara,"disco, new romantic, new wave pop, soft rock"
Whip It,BigXthaPlug,southern hip hop
Inner Light,Elderbrook,uk dance
Suddenly (feat. Rebecca) - Radio Edit,Arash,persian pop
Fade Into You,Mazzy Star,"dream pop, melancholia, shoegaze, slowcore"
Strawberry Letter 23,Shuggie Otis,"funk, psychedelic soul, soul"
Sweet Thang,Shuggie Otis,"funk, psychedelic soul, soul"
Bedford Falls,ford.,"vapor soul, vapor twitch"
Rose Pink Cadillac,DOPE LEMON,Unknown
Found God in a Tomato,Psychedelic Porn Crumpets,"australian garage punk, australian psych, neo-psychedelic"
En El Radio Un Cochinero,Victor Cibrian,"corrido, corridos tumbados, sierreno"
Ey Joonam,Sami Beigi,persian pop
Mariage d'amour (Piano Solo),Richard Clayderman,easy listening
Stormy Weather,Etta James,"jazz blues, soul, soul blues, torch song, vocal jazz"
Armaghetton - Aeroplane Extended Remix,Marco Faraone,"dark techno, italian techno"
